sector,yStock,xStock,intercept,beta,adf_pvalue,sigma,quality,intercept_pct,explained_pct,z_score
FINANCE,POLICYBZR,CDSL,844.5223,0.6065,0.0002,82.5653,POOR,46.8,53.2,1.02
FINANCE,HDFCLIFE,HDFCAMC,390.0353,0.1384,0.0463,29.9684,POOR,52.0,48.0,-0.22
FINANCE,ICICIGI,LICI,768.454,1.2973,0.0043,55.2842,POOR,39.3,60.7,1.48
FINANCE,ICICIGI,NUVAMA,1203.7906,0.5168,0.0,50.7777,POOR,61.5,38.5,-0.01
FINANCE,ICICIPRULI,POLICYBZR,304.3584,0.1765,0.0048,17.726,POOR,45.1,54.9,2.89
FMCG,MARICO,BRITANNIA,274.0161,0.0769,0.0109,17.9496,POOR,36.0,64.0,1.36
FMCG,NESTLEIND,BRITANNIA,592.9059,0.1065,0.041,34.7872,POOR,45.8,54.2,1.78
FMCG,TATACONSUM,BRITANNIA,340.7912,0.1351,0.039,39.7268,POOR,29.0,71.0,0.61
FMCG,MARICO,TATACONSUM,211.6602,0.4481,0.0236,21.1761,POOR,27.8,72.2,1.01
FMCG,NESTLEIND,TATACONSUM,409.6676,0.7099,0.0029,28.9618,POOR,31.6,68.4,1.72
INFRA,ABB,OBEROIRLTY,1584.0478,2.2812,0.0499,249.442,POOR,30.6,69.4,-1.11
INFRA,GODREJPROP,OBEROIRLTY,489.9135,0.9742,0.0032,72.7767,POOR,24.3,75.7,-1.74
INFRA,CONCOR,ABB,140.2427,0.0765,0.0042,20.649,POOR,26.8,73.2,-0.57
INFRA,ABB,RVNL,1844.5714,10.096,0.0,214.5997,POOR,35.6,64.4,-1.48
INFRA,BHARTIARTL,ADANIPORTS,477.2355,1.0479,0.0038,64.2856,POOR,22.6,77.4,1.26
INFRA,BHARTIARTL,BHEL,715.3592,4.8913,0.0046,83.5091,POOR,33.9,66.1,-0.37
INFRA,LT,BHARTIARTL,1221.3136,1.2744,0.0185,151.4577,POOR,29.5,70.5,1.52
INFRA,INDUSTOWER,BHEL,171.3369,0.8487,0.0178,17.2722,POOR,39.3,60.7,0.99
IT,PERSISTENT,LTIM,1776.1093,0.7309,0.0052,246.574,POOR,28.3,71.7,0.16
IT,WIPRO,INFY,35.6913,0.1413,0.0076,7.873,POOR,13.4,86.6,0.18
IT,HCLTECH,INFY,425.2487,0.7351,0.0456,67.2156,POOR,26.0,74.0,0.17
IT,TATATECH,OFSS,267.1795,0.0513,0.0279,30.3231,POOR,41.5,58.5,-0.57
METAL,JSWSTEEL,HINDALCO,446.352,0.8591,0.0341,35.109,POOR,38.1,61.9,-1.25
PHARMA,SUNPHARMA,AUROPHARMA,530.2435,1.0223,0.0,31.6729,POOR,30.8,69.2,-0.91
PHARMA,MAXHEALTH,PIIND,333.1422,0.2222,0.0,41.699,POOR,31.7,68.3,0.03
