DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
14-Jul-2025,EQ,"1,983.00","1,988.70","1,970.60","1,983.70","1,982.90","1,983.00","1,978.80","2,027.10","1,588.05",6544425,"12,95,00,97,345.90",132854
11-Jul-2025,EQ,"1,998.00","2,004.80","1,980.90","2,006.20","1,983.00","1,983.70","1,987.41","2,027.10","1,588.05",6258461,"12,43,81,53,798.20",125871
10-Jul-2025,EQ,"2,016.00","2,017.00","2,000.00","2,011.20","2,002.80","2,006.20","2,008.54","2,027.10","1,588.05",8515155,"17,10,30,52,403.80",184619
09-Jul-2025,EQ,"2,007.00","2,013.80","1,998.10","2,001.40","2,008.50","2,011.20","2,007.10","2,027.10","1,588.05",6930714,"13,91,06,45,549.40",151284
08-Jul-2025,EQ,"1,977.00","2,005.00","1,977.00","1,987.40","1,999.40","2,001.40","1,992.88","2,027.10","1,588.05",7612158,"15,17,00,95,365.50",199823
07-Jul-2025,EQ,"1,989.00","1,998.40","1,983.80","1,989.30","1,985.50","1,987.40","1,989.37","2,027.10","1,588.05",5674713,"11,28,90,78,543.00",163393
04-Jul-2025,EQ,"1,987.10","2,003.50","1,980.00","1,987.10","1,992.70","1,989.30","1,987.51","2,027.10","1,588.05",3931972,"7,81,48,32,915.60",150676
03-Jul-2025,EQ,"1,994.90","2,008.00","1,984.30","1,986.00","1,985.90","1,987.10","1,993.22","2,027.10","1,588.05",8430253,"16,80,33,71,805.60",182242
02-Jul-2025,EQ,"2,019.90","2,019.90","1,977.90","2,012.10","1,985.50","1,986.00","1,990.25","2,027.10","1,588.05",9439125,"18,78,62,19,250.60",268429
01-Jul-2025,EQ,"2,005.00","2,016.00","2,004.00","2,001.50","2,011.10","2,012.10","2,010.15","2,027.10","1,588.05",7194693,"14,46,24,21,818.60",169976
30-Jun-2025,EQ,"2,011.50","2,013.80","1,995.50","2,014.90","2,000.00","2,001.50","2,001.16","2,027.10","1,588.05",6824510,"13,65,69,39,181.00",199780
27-Jun-2025,EQ,"2,013.00","2,019.80","1,993.40","2,021.80","2,011.50","2,014.90","2,011.75","2,027.10","1,588.05",14106692,"28,37,90,71,385.70",226961
26-Jun-2025,EQ,"1,981.40","2,027.10","1,980.00","1,980.20","2,017.70","2,021.80","2,011.21","2,027.10","1,588.05",25042415,"50,36,56,56,414.50",343662
25-Jun-2025,EQ,"1,966.00","1,982.00","1,963.90","1,960.90","1,980.00","1,980.20","1,977.13","1,996.30","1,588.05",9202966,"18,19,54,46,515.70",206190
24-Jun-2025,EQ,"1,965.00","1,979.00","1,955.60","1,948.40","1,963.70","1,960.90","1,964.12","1,996.30","1,588.05",11312661,"22,21,94,42,191.50",231814
23-Jun-2025,EQ,"1,948.40","1,957.90","1,941.80","1,964.70","1,948.10","1,948.40","1,948.19","1,996.30","1,588.05",5869759,"11,43,53,95,881.10",176324
