DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
23-Jan-2025,EQ,"750.00","755.65","743.10","753.45","746.25","745.90","748.15","912.00","600.65",10986405,"8,21,94,65,974.00",220737
22-Jan-2025,EQ,"762.00","763.00","738.00","759.05","753.45","753.45","749.23","912.00","600.65",9908339,"7,42,35,85,184.00",233659
21-Jan-2025,EQ,"784.80","784.90","756.05","779.25","759.80","759.05","765.52","912.00","600.65",13751780,"10,52,73,21,816.95",278817
20-Jan-2025,EQ,"769.00","785.00","767.85","764.10","778.50","779.25","778.03","912.00","600.65",9198929,"7,15,70,00,810.05",211086
17-Jan-2025,EQ,"766.30","767.95","759.40","766.30","763.80","764.10","763.55","912.00","600.65",5766573,"4,40,30,52,207.15",147029
16-Jan-2025,EQ,"760.40","776.70","760.40","753.70","767.00","766.30","768.15","912.00","600.65",11816079,"9,07,65,38,069.20",204032
15-Jan-2025,EQ,"753.15","758.90","750.00","748.15","754.95","753.70","754.48","912.00","600.65",7792299,"5,87,91,31,387.45",225171
14-Jan-2025,EQ,"732.95","757.00","732.95","729.50","750.50","748.15","748.73","912.00","600.65",11960975,"8,95,55,85,470.30",242233
13-Jan-2025,EQ,"741.50","743.95","722.50","743.25","728.95","729.50","733.81","912.00","600.65",10414733,"7,64,24,74,249.65",254856
10-Jan-2025,EQ,"760.35","763.40","742.05","760.45","744.80","743.25","748.01","912.00","600.65",11779296,"8,81,10,43,804.50",275478
09-Jan-2025,EQ,"771.15","771.35","726.25","771.15","762.00","760.45","760.13","912.00","600.65",15351029,"11,66,87,46,480.15",258299
08-Jan-2025,EQ,"780.90","783.95","760.10","778.75","771.35","771.15","767.67","912.00","600.65",15641490,"12,00,74,86,384.75",277739
07-Jan-2025,EQ,"779.85","783.85","774.85","776.40","778.40","778.75","778.73","912.00","600.65",9669152,"7,52,96,20,598.70",188005
06-Jan-2025,EQ,"797.40","797.60","773.15","793.40","778.40","776.40","781.47","912.00","600.65",11419367,"8,92,38,76,463.45",289818
03-Jan-2025,EQ,"801.20","809.50","792.15","801.20","793.30","793.40","798.97","912.00","600.65",13336514,"10,65,54,90,014.65",208457
02-Jan-2025,EQ,"795.00","802.40","787.00","793.20","802.25","801.20","795.88","912.00","600.65",11398319,"9,07,17,09,128.05",206144
01-Jan-2025,EQ,"795.55","798.65","789.50","794.95","794.30","793.20","793.85","912.00","600.65",7273098,"5,77,37,33,671.35",125843
31-Dec-2024,EQ,"786.95","799.20","786.00","788.30","796.00","794.95","794.69","912.00","600.65",9086044,"7,22,06,00,207.70",162712
30-Dec-2024,EQ,"802.00","807.95","785.00","799.65","793.30","788.30","793.36","912.00","600.65",21515438,"17,06,95,91,751.15",317867
27-Dec-2024,EQ,"816.30","818.30","797.20","812.45","800.85","799.65","806.26","912.00","600.65",10649800,"8,58,65,60,656.85",179691
26-Dec-2024,EQ,"813.00","822.85","808.00","812.05","814.00","812.45","813.70","912.00","600.65",8318714,"6,76,89,03,488.30",145477
24-Dec-2024,EQ,"824.25","826.20","809.20","821.15","813.00","812.05","814.35","912.00","600.65",10602771,"8,63,43,65,124.30",155822
23-Dec-2024,EQ,"817.30","824.00","812.20","812.00","820.50","821.15","820.11","912.00","600.65",4933200,"4,04,57,77,516.70",127438
20-Dec-2024,EQ,"834.90","836.00","810.00","832.80","814.00","812.00","819.20","912.00","600.65",10244198,"8,39,20,39,433.55",183839
19-Dec-2024,EQ,"824.60","838.00","820.20","838.15","832.25","832.80","829.17","912.00","600.65",9453398,"7,83,84,54,819.80",192047
18-Dec-2024,EQ,"851.00","852.00","837.00","850.55","840.80","838.15","840.95","912.00","600.65",8295338,"6,97,59,24,558.00",186668
17-Dec-2024,EQ,"858.55","862.60","847.05","860.95","849.80","850.55","852.67","912.00","600.65",8791216,"7,49,60,29,790.20",193366
16-Dec-2024,EQ,"859.80","866.40","857.80","861.55","860.65","860.95","861.45","912.00","600.65",6432713,"5,54,14,82,948.45",151330
13-Dec-2024,EQ,"852.60","862.90","835.00","853.70","861.90","861.55","851.16","912.00","600.65",9379370,"7,98,33,45,804.15",228551
12-Dec-2024,EQ,"861.50","864.30","851.15","861.60","853.40","853.70","854.33","912.00","600.65",8845103,"7,55,66,72,637.10",168059
11-Dec-2024,EQ,"867.50","869.85","860.95","867.50","861.80","861.60","864.62","912.00","600.65",7006973,"6,05,83,37,344.15",167495
10-Dec-2024,EQ,"861.80","868.95","858.05","858.05","868.30","867.50","863.66","912.00","600.65",7379849,"6,37,37,14,111.45",158185
09-Dec-2024,EQ,"859.00","866.85","856.95","863.65","858.20","858.05","861.15","912.00","600.65",9630346,"8,29,32,12,615.95",186481
06-Dec-2024,EQ,"865.25","875.45","857.00","865.45","862.95","863.65","866.72","912.00","584.55",14520568,"12,58,51,97,103.00",451441
05-Dec-2024,EQ,"860.00","871.45","855.60","859.70","864.25","865.45","864.78","912.00","584.55",14716036,"12,72,61,61,186.90",242317
04-Dec-2024,EQ,"853.95","864.00","850.30","853.95","858.55","859.70","858.15","912.00","584.55",10749716,"9,22,48,75,560.05",237875
03-Dec-2024,EQ,"838.00","856.60","836.90","836.40","853.50","853.95","851.99","912.00","584.55",12186182,"10,38,25,22,739.05",235478
